,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
0,1,Die Macher,"['Economic', 'Negotiation', 'Political']",240,3,5,14
1,2,Dragonmaster,"['Card Game', 'Fantasy']",30,3,4,12
2,3,Samurai,"['Abstract Strategy', 'Medieval']",45.0,2,4,10
3,4,Tal der Könige,['Ancient'],60,2,4,12
4,5,Acquire,['Economic'],90,2,6,12
6,7,Cathedral,['Abstract Strategy'],20,2,2,8
7,8,Lords of Creation,"['Civilization', 'Fantasy']",120,2,5,12
8,9,El Caballero,['Exploration'],90,2,4,13
9,10,Elfenland,"['Fantasy', 'Travel']",60,2,6,10
10,11,Bohnanza,"['Card Game', 'Farming', 'Negotiation']",45,2,7,13
11,12,Ra,"['Ancient', 'Mythology']",52.5,2,5,12
12,13,Catan,['Negotiation'],90.0,3,4,10
13,14,Basari,['Negotiation'],25,3,4,10
14,15,Cosmic Encounter,"['Bluffing', 'Negotiation', 'Science Fiction']",90,2,6,12
15,16,MarraCash,['Economic'],60,3,4,12
16,17,Button Men,"['Collectible Components', 'Dice', 'Fighting', 'Print & Play']",5,2,2,10
17,18,RoboRally,"['Maze', 'Miniatures', 'Racing', 'Science Fiction']",82.5,2,8,12
18,19,Wacky Wacky West,"['American West', 'Bluffing', 'City Building']",37.5,2,4,9
19,20,Full Metal Planète,['Science Fiction'],90,2,4,12
21,22,Magic Realm,"['Adventure', 'Exploration', 'Fantasy']",240,1,16,12
22,23,Divine Right,"['Fantasy', 'Political', 'Wargame']",360,2,6,12
23,24,Twilight Imperium,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']",240,2,6,12
24,25,Battlemist,"['Exploration', 'Fantasy', 'Wargame']",200,2,6,12
25,26,Age of Renaissance,"['Civilization', 'Economic', 'Medieval', 'Renaissance']",360,3,6,12
26,27,Supremacy,"['Economic', 'Political', 'Wargame']",340,2,6,12
27,28,Illuminati (Second Edition),"['Card Game', 'Humor', 'Negotiation', 'Political']",120.0,2,8,12
29,30,Dark Tower,"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Fighting']",90,1,4,10
30,31,Dark World,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']",90,2,5,10
32,34,Arkham Horror,"['Adventure', 'Horror', 'Novel-based']",180,1,8,12
33,36,Federation & Empire,"['Science Fiction', 'Wargame']",300,2,8,12
37,40,Borderlands,"['Bluffing', 'Civilization', 'Fantasy', 'Negotiation', 'Political']",120,2,4,12
38,41,Can't Stop,['Dice'],30,2,4,9
39,42,Tigris & Euphrates,"['Ancient', 'Civilization', 'Territory Building']",90,2,4,12
40,43,Airlines,"['Aviation / Flight', 'Economic']",90,2,6,12
41,44,David & Goliath,['Card Game'],60,3,6,8
42,45,Perudo,"['Bluffing', 'Dice', 'Movies / TV / Radio theme', 'Party Game']",22.5,2,6,8
43,46,Medici,['Renaissance'],60,2,6,10
44,47,Chinatown,"['City Building', 'Economic', 'Negotiation']",60,3,5,12
45,48,Krieg und Frieden,"['Medieval', 'Political']",90,2,4,12
46,49,Mamma Mia!,['Card Game'],30,2,5,10
47,50,Lost Cities,"['Card Game', 'Exploration']",30,2,2,10
48,51,Ricochet Robots,"['Abstract Strategy', 'Maze', 'Puzzle', 'Real-time']",30,1,99,10
49,52,Mighty Empires,"['Fantasy', 'Territory Building', 'Wargame']",300,2,3,14
51,54,Tikal,"['Exploration', 'Territory Building']",90,2,4,10
53,57,Schoko & Co.,['Economic'],180,2,4,13
54,58,Kings & Things,"['Bluffing', 'Exploration', 'Fantasy', 'Territory Building', 'Wargame']",120,2,4,12
55,59,Giganten,"['Economic', 'Exploration', 'Industry / Manufacturing']",90,3,4,10
56,60,Vinci,"['Ancient', 'Civilization', 'Territory Building']",90,3,6,14
57,61,Fossil,['Ancient'],40,2,6,10
58,62,Curse of the Mummy's Tomb,"['Adventure', 'Ancient', 'Horror']",120,1,4,12
59,63,Samurai,"['Political', 'Wargame']",180,2,8,12
60,64,Joan of Arc,"['Card Game', 'Medieval', 'Political', 'Wargame']",180,3,6,12
62,66,Löwenherz,"['Medieval', 'Political']",90,2,4,12
63,67,Conquest,"['Abstract Strategy', 'Ancient', 'Wargame']",120,2,4,10
64,68,Successors (second edition),"['Ancient', 'Wargame']",180,2,4,12
66,70,Big City,['City Building'],60,2,5,10
67,71,Civilization,"['Ancient', 'Civilization', 'Economic', 'Negotiation']",360,2,7,12
68,72,Verräter,"['Card Game', 'Political']",60,3,4,12
69,74,Apples to Apples,"['Card Game', 'Humor', 'Party Game']",30,4,10,12
70,75,Falling,"['Card Game', 'Fantasy', 'Print & Play', 'Real-time']",5,4,8,8
71,76,Air Baron,"['Aviation / Flight', 'Economic', 'Territory Building']",120,2,6,10
72,77,EastFront,"['Wargame', 'World War II']",240,2,2,12
73,78,WestFront,"['Wargame', 'World War II']",240,2,2,12
