game_id,game_title
1,Die Macher
2,Dragonmaster
3,Samurai
4,Tal der Könige
5,Acquire
7,Cathedral
8,Lords of Creation
9,El Caballero
10,Elfenland
11,Bohnanza
12,Ra
13,Catan
14,Basari
15,Cosmic Encounter
16,MarraCash
17,Button Men
18,RoboRally
19,Wacky Wacky West
20,Full Metal Planète
22,Magic Realm
23,Divine Right
24,Twilight Imperium
25,Battlemist
26,Age of Renaissance
27,Supremacy
28,Illuminati (Second Edition)
30,Dark Tower
31,Dark World
34,Arkham Horror
36,Federation & Empire
40,Borderlands
41,Can't Stop
42,Tigris & Euphrates
43,Airlines
44,David & Goliath
45,Perudo
46,Medici
47,Chinatown
48,Krieg und Frieden
49,Mamma Mia!
50,Lost Cities
52,Mighty Empires
54,Tikal
57,Schoko & Co.
58,Kings & Things
59,Giganten
60,Vinci
61,Fossil
62,Curse of the Mummy's Tomb
63,Samurai
64,Joan of Arc
66,Löwenherz
67,Conquest
68,Successors (second edition)
70,Big City
71,Civilization
72,Verräter
74,Apples to Apples
75,Falling
76,Air Baron
77,EastFront
78,WestFront
82,Bobby Lee
85,Quebec 1759
87,Victory: World War II
88,Torres
89,Blue vs. Gray
90,Star Wars: Episode 1 – Clash of the Lightsabers
91,Paths of Glory
93,El Grande
94,Union Pacific
95,Igel Ärgern
96,Broadsides and Boarding Parties
97,Conquest of the Empire
99,Fortress America
101,Detroit-Cleveland Grand Prix
102,Klunker
103,Titan
104,Extrablatt
105,Colossal Arena
106,Mystery Rummy: Jack the Ripper
108,TAMSK
109,Wettstreit der Baumeister
110,Auf Achse
111,Rheinländer
112,Condottiere
115,I'm the Boss!
116,Guillotine
117,Ta Yü
118,Modern Art
119,Kingdoms
121,Dune
122,Quo Vadis?
124,Primordial Soup
125,Money!
126,The Really Nasty Horse Racing Game
127,Princess Ryan's Star Marines
128,Take it Easy!
130,Iron Dragon
132,Caesar & Cleopatra
134,Cape Horn
135,Kontor
137,Pass the Bomb
140,Pit
141,Andromeda
142,Vino
145,Metropolis
146,Buy Low Sell High
147,Crude: The Oil Game
150,PitchCar
151,Piratenbillard
152,Mü & More
153,Take 5!
155,Was sticht?
156,Wildlife Adventure
158,Elfengold
162,The Awful Green Things From Outer Space
163,Balderdash
164,"Before I Kill You, Mister Spy..."
165,Black Box
168,Empire Builder
169,En Garde
170,Family Business
171,Chess
172,For Sale
173,Formula Dé
174,T-Rex
175,Beat the Buzzard
176,Give Me the Brain!
